Lubosch, Wilhelm
Wien, Max
Wigand, Johan(nes)
Wildvogel, Christian
Winckelmann, Johann Joachim
Winkelmann, Adolf
Wolff, Christian
Wolff, Oskar Ludwig Bernhard
Woltmann, Karl Ludwig (von)
Wolzogen, Caroline Frfr. von (geb. von
Zeiß, Carl
Zeiß, Eduard
Zenker, Gustav
Zenker, Jonathan Karl
Zetkin, Clara
Zimmern, Siegmund Wilhelm
Zinzendorf (und Pottendorf), Nikolaus Ludwig
Zucker, Friedrich
